"","waypoint","site","camera","habitat","canopy_cov","elev_m","sui_top","sui_bottom","lon","lat","face_num","face_dir","camera angle","incline parallel","incline perpendicular","distance to quadrat_cm","deploy date","removal date","notes","aji_note","SpeciesNumber","FlowerNumber","Early","Late","AverageFlowering","SeasonLength","Achillea_millefolium","Alchemilla_conjuncta","Alchemilla_xanthochlora","Anthyllis_vulneraria","Bellis_perennis","Campanula_scheuchzeri","Carlina_acaulis","Crocus_albiflorus","Euphrasia_minima","Gentianella_sp","Helianthemum_nummularium","Hepatica_nobilis","Hippocrepis_comosa","Leontodon_hispidus","Lotus_alpinus","Lotus_sp","Pedicularis_verticillata","Plantago_lanceolata","Plantago_media","Potentilla_aurea","Primula_sp","Ranunculus_montanus","Salvia_pratensis","Silene_vulgaris","Soldanella_alpina","Taraxacum_officinale","Trifolium_badium","Trifolium_montanum","Trifolium_pratense","Trollius_europaeus","Viola_biflora","Viola_calcarata","Viola_sp"
"1",551,"cal","cam2","alpine","0",1999,756290,195000,9.48949,46.88773,345,"n",5,24,15,427,"27.04.2022","06.10.2022",NA,NA,12,463.05822816815,144.833333333333,187.416666666667,161.907607321808,42.5833333333333,21.5,9.30809782354307,68.5,49.5,45,64,0,103.750130344607,0,0,0,4,0,0,0,0,0,0,0,0,0,40,0,0,0,7,0,0,3,0,0,0,47.5
"2",552,"cal","cam9","alpine","0",1976,756290,195000,9.48949,46.88773,195,"s",-10,12,15,420,"27.04.2022","06.10.2022",NA,NA,10,392,153.3,181.7,169.069380730011,28.4,0,179.5,18,7,0,33.5,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,4,4,31,0,0,0,10.5
"3",553,"cal","cam13","alpine","0",1968,756290,195000,9.48949,46.88773,265,"w",4,10,0,290,"27.04.2022","06.10.2022",NA,NA,10,1194.68753258615,140.9,192.9,163.689228318103,52,7,69,272.687532586152,129.5,0,17,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5,0,0,0,11,8,0,0,0,0,0,15
"4",549,"cal","cam18","alpine","0",1996,756290,195000,9.48949,46.88773,27,"ne",-10,0,0,543,"27.04.2022","06.10.2022",NA,NA,10,407.28446299977,162.8,192.6,178.276344941005,29.8,12,10,87,32.5,0,43,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,141.687532586152,0,0,0,9,0,0,0,0,0,0,59.096930413618
"5",547,"cal","cam21","alpine","0",1953,756280,194993,9.48936,46.88767,257,"w",0,0,0,415,"27.04.2022","06.10.2022",NA,NA,13,633.64686998899,152.307692307692,191.615384615385,173.488678224246,39.3076923076923,4,56.5,68,260,0,27.5,0,95.8387721654472,0,0,0,0,0,0,0,0,14,0,0,0,12.5,67.3080978235431,0,0,0,5,0,9,9,0,0,0,5
"6",550,"cal","cam25","alpine","0",2001,756290,195000,9.48949,46.88773,338,"n",-4,20,12,335,"27.04.2022","06.10.2022",NA,NA,12,877.808097823543,146.916666666667,195,166.929131856187,48.0833333333333,86.5,11.3080978235431,21,475,0,27,0,40.5,0,0,0,7,0,0,0,0,0,0,0,0,9,71.5,0,0,0,0,0,58.5,13,0,0,0,57.5
"7",548,"cal","cam27","alpine","0",1997,756290,195000,9.48949,46.88773,215,"sw",-10,7,7,397,"27.04.2022","06.10.2022",NA,NA,11,1432.45763774036,162.636363636364,210.363636363636,187.439993693155,47.7272727272727,21,94.3080978235431,107.5,435.274474744512,0,242.5,0,79,0,0,0,0,0,0,0,0,0,0,28,0,0,109.875065172303,0,0,0,0,180,0,78,0,0,0,57
"8",536,"nbo","cam3","open","0",1394,756447,192923,9.49084,46.86902,316,"nw",5,14,2,1562,"06.04.2022","06.10.2022","frame adjusted 27 April 2022","closer",7,668.241391163996,128.142857142857,175.142857142857,152.85068690188,47,0,22.5,0,0,12,0,0,599.433293340453,0,0,3,0,0,0,0,0,0,0,0,0,0,19.3080978235431,0,0,0,6,0,0,0,6,0,0,0
"9",537,"nbo","cam7","open","0",1402,756401,192941,9.49024,46.86919,126,"se",-5,15,0,925,"06.04.2022","06.10.2022",NA,NA,6,588.116195647086,127.833333333333,220.833333333333,164.714554454167,93,0,20.5,0,0,70,10.5,0,369.616195647086,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
"10",535,"nbo","cam8","open","0",1405,756365,192870,9.48975,46.86856,255,"w",0,1,4,671,"06.04.2022","06.10.2022",NA,"flowers are small",8,204.808097823543,158.25,236.25,192.193648879201,78,0,30,4,9,0,10,0,70.308097823543,0,0,0,0,0,14,0,0,0,0,0,0,0,47.5,0,0,0,20,0,0,0,0,0,0,0
"11",538,"nbo","cam10","open","0",1397,756409,192903,9.49033,46.86885,20,"n",-5,0,11,1161,"06.04.2022","06.10.2022","frame adjusted 27 April 2022","closer",5,421.10439460583,137.2,218.4,172.156429091245,81.2,0,12.5,0,0,88,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,46.6043946058302
"12",545,"nbo","cam11","canopy","> 90",1436,756313,193023,9.48912,46.86995,325,"nw",0,40,4,154,"06.04.2022","06.10.2022",NA,"ideal",8,321.351339790247,139.75,213.625,178.59656385628,73.875,0,0,43.6875325861517,20,0,109.905648955925,0,44,9,0,0,80.7581582481708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0
"13",534,"nbo","cam14","open","0",1402,756260,192834,9.48836,46.86826,335,"nw",15,10,21,524,"06.04.2022","06.10.2022","frame adjusted 12 April 2022",NA,5,139,168.2,206.2,185.589577845323,38,0,70.5,0,0,52.5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
"14",533,"nbo","cam16","open","0",1407,756281,192854,9.48864,46.86844,341,"n",-5,12,34,220,"06.04.2022","06.10.2022","frame adjusted 12 April 2022; photo frame says cam 16",NA,8,319.5,185.25,236.5,214.12687526897,51.25,0,7,0,15,0,9,0,155,59,0,0,4,0,0,0,0,0,0,0,0,0,42.5,0,0,0,28,0,0,0,0,0,0,0
"15",543,"nbo","cam17","canopy","> 90",1430,756260,192967,9.4884,46.86946,253,"n",0,33,12,231,"06.04.2022","06.10.2022",NA,"ideal",3,47,207.666666666667,228.333333333333,216.521885521886,20.6666666666667,0,0,3,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"16",539,"nbo","cam19","canopy","> 90",1388,756447,192878,9.49082,46.86862,276,"w",-5,15,4,144,"06.04.2022","06.10.2022",NA,"ideal",6,212.375065172303,158.5,241.333333333333,195.653449778116,82.8333333333333,0,26.5,8,3,0,0,0,38.5,0,0,0,116.375065172303,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"17",540,"nbo","cam20","canopy","> 90",1390,756440,192858,9.49073,46.86844,263,"w",-5,21,1,248,"06.04.2022","06.10.2022",NA,"ideal",6,335.677544330894,166.833333333333,253.5,201.969117224635,86.6666666666667,0,22,0,14.5,0,7,0,89,0,0,0,180.177544330894,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
"18",542,"nbo","cam22","canopy","> 90",1383,756440,192819,9.49071,46.86809,239,"sw",0,21,13,409,"06.04.2022","06.10.2022","frame adjusted 12 April 2022",NA,7,588.239212050423,125.285714285714,237,176.385743522122,111.714285714286,0,114,10,87,0,0,0,254.86414687812,0,0,0,92.3750651723035,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,26,0,0
"19",532,"nbo","cam23","open","0",1399,756374,192939,9.48989,46.86918,298,"sw",-5,5,0,560,"06.04.2022","06.10.2022","frame adjusted 27 April 2022; perpendicular incline is estimate based on map location (no entry on datasheet)","might be better closer",11,973.22703161752,166.181818181818,198.545454545455,181.06246671803,32.3636363636364,0,24.8080978235431,0,0,5,10,0,33.5,0,0,19.1875325861517,3,0,0,0,0,0,0,0,0,0,267.807107737196,345.5,100.5,0,61.8080978235431,0,0,0,102.116195647086,0,0,0
"20",544,"nbo","cam24","canopy","> 90",1431,756270,192981,9.48854,46.86958,300,"nw",-5,31,5,153,"06.04.2022","06.10.2022",NA,"ideal",4,147.187532586152,117,194.25,155.956700678559,77.25,0,0,0,33.6875325861517,0,18,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0
"21",541,"nbo","cam26","canopy","> 90",1384,756424,192828,9.49051,46.86817,325,"nw",15,18,2,100,"06.04.2022","06.10.2022","frame adjusted 27 April 2022","bit closer might be better",5,377.673937200515,150.6,276.8,226.188539078258,126.2,0,61.995387102334,0,20,0,0,0,91.495387102334,0,0,0,136.495630409695,0,0,0,0,0,0,0,0,0,67.6875325861517,0,0,0,0,0,0,0,0,0,0,0
"22",560,"subcal","cam5","canopy",NA,1929,756491,194923,9.4921,46.88699,331,"nw",4,11,20,285,"11.05.2022","06.10.2022",NA,NA,8,774.556292361937,188.75,248.5,208.560240627053,59.75,0,134.5,32.3687597757856,5,0,0,0,20.1875325861517,0,0,0,0,0,0,0,0,0,0,0,0,0,549.5,12,5,0,0,0,0,0,0,16,0,0
"23",565,"subcal","cam6","open",NA,1954,756459,195051,9.49173,46.88815,298,"nw",10,10,10,271,"11.05.2022","06.10.2022","36?",NA,10,1190.16839648979,141.8,208,162.92451416067,66.2,0,363.5,0,197.808097823543,0,127.868759775786,0,101.996151788123,0,0,0,0,11,0,6,0,0,0,0,0,0,258.995387102334,0,0,0,0,0,0,0,0,7.5,86,29.5
"24",569,"subcal","cam15","open",NA,1904,756546,194917,9.49282,46.88693,237,"sw",-19,10,20,186,"11.05.2022","06.10.2022",NA,NA,10,718.995630409695,161.9,211.8,189.339904944814,49.9,0,41.3080978235431,40.5,11,0,36.6875325861517,0,0,3,0,0,32.5,0,20,0,0,0,0,0,0,0,512,0,0,0,15,0,0,0,0,0,0,7
"25",566,"subcal","cam28","open",NA,1945,756494,195025,9.49218,46.88791,21,"n",-10,3,10,270,"11.05.2022","06.10.2022",NA,NA,10,856.801190163478,179.2,213.5,192.825892872092,34.3,0,6,24.5,8,0,27,0,338.937923619973,0,0,0,23.3632665435055,0,64.5,0,0,0,0,0,0,0,354.5,0,0,0,0,0,0,0,0,4,0,6
"26",570,"subcal","cam29","open",NA,1900,756552,194907,9.4929,46.88684,242,"sw",0,20,0,141,"11.05.2022","06.10.2022",NA,NA,10,1565.46781458176,168.1,214.3,187.704546162064,46.2,10,256.103765970616,97,0,0,26,0,278.000782067642,0,0,0,19.3632665435055,0,0,0,0,0,0,0,0,0,853,0,8,0,0,0,4,14,0,0,0,0
"27",567,"subcal","cam30","open",NA,1926,756517,194969,9.49246,46.8874,286,"w",-11,30,7,194,"11.05.2022","06.10.2022",NA,NA,8,1013.47946219059,150.625,197.625,171.807130703064,47,0,300.616195647086,0,28,0,16,0,27.8632665435055,0,0,0,9,0,0,0,0,0,0,0,0,0,607.5,0,0,0,8,0,0,16.5,0,0,0,0
"28",558,"subcal","cam31","canopy",NA,1935,756492,195008,9.49215,46.88776,250,"w",3,20,10,240,"11.05.2022","06.10.2022",NA,NA,8,947.85865364584,188.375,237.625,212.72479487148,49.25,9,91,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,21.3632665435055,0,0,0,14.995387102334,13.5,0,0,0,0
"29",561,"subcal","cam32","canopy",NA,1922,756501,194940,9.49224,46.88714,305,"nw",-10,27,0,211,"11.05.2022","06.10.2022",NA,NA,13,1526,165.461538461538,195,178.205264518914,29.5384615384615,0,156.5,11,18,0,64,0,0,0,5,0,5,0,11.5,0,0,0,0,0,0,0,1180.5,0,0,0,3,23,25.5,19,0,4,0,0
"30",557,"subcal","cam33","canopy",NA,1946,756454,195022,9.49165,46.88789,235,"sw",4,18,0,398,"11.05.2022","06.10.2022","cows trampled stakes, quadrat location estimated",NA,15,515.808097823543,177.4,225.333333333333,199.64258901935,47.9333333333333,7.5,53.5,13.5,52.8080978235431,0,25,0,27,7,0,0,0,0,32,4,0,0,0,35,0,0,203.5,0,0,0,16,0,5,16,0,0,0,18
"31",556,"subcal","cam34","canopy",NA,1854,756428,195000,9.4913,46.8877,262,"w",-15,16,0,155,"11.05.2022","06.10.2022","elevation correct? 1954 seems more accurate; cows trampled stakes, quadrat location estimated",NA,13,551.858653645839,162,204.846153846154,185.647140222539,42.8461538461538,0,102.863266543505,0,22,12,56.5,0,0,4,0,4,0,0,11.5,0,0,0,0,5.99999999999999,0,0,267,0,0,0,13.5,7,6,0,0,0,0,39.495387102334
"32",564,"subcal","cam35","open",NA,1951,756464,195000,9.49178,46.88769,307,"nw",6,18,12,613,"11.05.2022","06.10.2022",NA,NA,5,713.467661149336,143.4,216,182.550861719507,72.6,0,0,0,0,46,31,0,627.467661149336,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"33",562,"subcal","cam36","canopy",NA,1923,756517,194950,9.49245,46.88723,258,"w",-5,20,20,6,"11.05.2022","06.10.2022",NA,NA,11,258.401036058259,160.363636363636,193.818181818182,177.742353876526,33.4545454545455,3,12,12,8,0,46,0,57.4056489559246,0,0,0,26.5,0,0,0,0,0,4,0,0,0,67.5,0,0,0,0,0,5,0,0,0,0,16.995387102334
"34",559,"subcal","cam37","canopy",NA,1940,756471,194979,9.49186,46.8875,269,"w",-15,12,4,243,"11.05.2022","06.10.2022",NA,NA,18,691.030018012888,157.555555555556,208.777777777778,183.914235591405,51.2222222222222,6,12,97.3632665435055,68.5,0,20.5,14,41.3586536458395,0,0,29,0,0,5,0,0,0,0,15,26,0,225,0,0,7,15,0,13.3080978235431,51,0,6,0,39
"35",563,"subcal","cam38","open",NA,1961,759435,194990,9.49135,46.8876,257,"w",-18,3,0,134,"11.05.2022","06.10.2022",NA,NA,18,785.986161307002,166.055555555556,221.888888888889,194.109782084841,55.8333333333333,8,52.5,53.9907742046681,128.5,0,134,0,52.995387102334,0,26,14,27,0,20,0,13,0,0,0,9,0,140.5,0,0,0,13,0,15,45,0,0,4,29.5
