waypoint,site,camera,habitat,canopy_cov,elev_m,sui_top,sui_bottom,lon,lat,face_num,face_dir,camera angle,incline parallel,incline perpendicular,distance to quadrat_cm,deploy date,removal date,notes,aji_note
551,cal,2,alpine,0,1999,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,,
552,cal,9,alpine,0,1976,756290,195000,9.48949,46.88773,195,s,-10,12,15,420,27.04.2022,06.10.2022,,
553,cal,13,alpine,0,1968,756290,195000,9.48949,46.88773,265,w,4,10,0,290,27.04.2022,06.10.2022,,
549,cal,18,alpine,0,1996,756290,195000,9.48949,46.88773,27,ne,-10,0,0,543,27.04.2022,06.10.2022,,
547,cal,21,alpine,0,1953,756280,194993,9.48936,46.88767,257,w,0,0,0,415,27.04.2022,06.10.2022,,
550,cal,25,alpine,0,2001,756290,195000,9.48949,46.88773,338,n,-4,20,12,335,27.04.2022,06.10.2022,,
548,cal,27,alpine,0,1997,756290,195000,9.48949,46.88773,215,sw,-10,7,7,397,27.04.2022,06.10.2022,,
536,nbo,3,open,0,1394,756447,192923,9.49084,46.86902,316,nw,5,14,2,1562,06.04.2022,06.10.2022,frame adjusted 27 April 2022,closer
537,nbo,7,open,0,1402,756401,192941,9.49024,46.86919,126,se,-5,15,0,925,06.04.2022,06.10.2022,,
535,nbo,8,open,0,1405,756365,192870,9.48975,46.86856,255,w,0,1,4,671,06.04.2022,06.10.2022,,flowers are small
538,nbo,10,open,0,1397,756409,192903,9.49033,46.86885,20,n,-5,0,11,1161,06.04.2022,06.10.2022,frame adjusted 27 April 2022,closer
545,nbo,11,canopy,> 90,1436,756313,193023,9.48912,46.86995,325,nw,0,40,4,154,06.04.2022,06.10.2022,,ideal
534,nbo,14,open,0,1402,756260,192834,9.48836,46.86826,335,nw,15,10,21,524,06.04.2022,06.10.2022,frame adjusted 12 April 2022,
533,nbo,16,open,0,1407,756281,192854,9.48864,46.86844,341,n,-5,12,34,220,06.04.2022,06.10.2022,frame adjusted 12 April 2022; photo frame says cam 16,
543,nbo,17,canopy,> 90,1430,756260,192967,9.4884,46.86946,253,n,0,33,12,231,06.04.2022,06.10.2022,,ideal
539,nbo,19,canopy,> 90,1388,756447,192878,9.49082,46.86862,276,w,-5,15,4,144,06.04.2022,06.10.2022,,ideal
540,nbo,20,canopy,> 90,1390,756440,192858,9.49073,46.86844,263,w,-5,21,1,248,06.04.2022,06.10.2022,,ideal
542,nbo,22,canopy,> 90,1383,756440,192819,9.49071,46.86809,239,sw,0,21,13,409,06.04.2022,06.10.2022,frame adjusted 12 April 2022,
532,nbo,23,open,0,1399,756374,192939,9.48989,46.86918,298,sw,-5,5,0,560,06.04.2022,06.10.2022,frame adjusted 27 April 2022; perpendicular incline is estimate based on map location (no entry on datasheet),might be better closer
544,nbo,24,canopy,> 90,1431,756270,192981,9.48854,46.86958,300,nw,-5,31,5,153,06.04.2022,06.10.2022,,ideal
541,nbo,26,canopy,> 90,1384,756424,192828,9.49051,46.86817,325,nw,15,18,2,100,06.04.2022,06.10.2022,frame adjusted 27 April 2022,bit closer might be better
560,subcal,5,canopy,,1929,756491,194923,9.4921,46.88699,331,nw,4,11,20,285,11.05.2022,06.10.2022,,
565,subcal,6,open,,1954,756459,195051,9.49173,46.88815,298,nw,10,10,10,271,11.05.2022,06.10.2022,36?,
569,subcal,15,open,,1904,756546,194917,9.49282,46.88693,237,sw,-19,10,20,186,11.05.2022,06.10.2022,,
566,subcal,28,open,,1945,756494,195025,9.49218,46.88791,21,n,-10,3,10,270,11.05.2022,06.10.2022,,
570,subcal,29,open,,1900,756552,194907,9.4929,46.88684,242,sw,0,20,0,141,11.05.2022,06.10.2022,,
567,subcal,30,open,,1926,756517,194969,9.49246,46.8874,286,w,-11,30,7,194,11.05.2022,06.10.2022,,
558,subcal,31,canopy,,1935,756492,195008,9.49215,46.88776,250,w,3,20,10,240,11.05.2022,06.10.2022,,
561,subcal,32,canopy,,1922,756501,194940,9.49224,46.88714,305,nw,-10,27,0,211,11.05.2022,06.10.2022,,
557,subcal,33,canopy,,1946,756454,195022,9.49165,46.88789,235,sw,4,18,0,398,11.05.2022,06.10.2022,"cows trampled stakes, quadrat location estimated",
556,subcal,34,canopy,,1854,756428,195000,9.4913,46.8877,262,w,-15,16,0,155,11.05.2022,06.10.2022,"elevation correct? 1954 seems more accurate; cows trampled stakes, quadrat location estimated",
564,subcal,35,open,,1951,756464,195000,9.49178,46.88769,307,nw,6,18,12,613,11.05.2022,06.10.2022,,
562,subcal,36,canopy,,1923,756517,194950,9.49245,46.88723,258,w,-5,20,20,6,11.05.2022,06.10.2022,,
559,subcal,37,canopy,,1940,756471,194979,9.49186,46.8875,269,w,-15,12,4,243,11.05.2022,06.10.2022,,
563,subcal,38,open,,1961,759435,194990,9.49135,46.8876,257,w,-18,3,0,134,11.05.2022,06.10.2022,,